iButton ID,Number,X,Y,Z
1,338005,-83.72872,9.938,1048
2,337976,-83.74335,9.94128,1287
3,3382F3,-83.74156,9.94056,1249
4,337C34,-83.72878,9.93785,1048
5,337FFE,-83.73132,9.93939,1077
6,337ADC,-83.73289,9.93916,1091
7,337AFE,-83.73008,9.93936,1057
8,337712,-83.7299,9.93783,1064
9,337F93,-83.73351,9.93886,1094
10,338044,-83.73193,9.93812,1076
11,337E5B,-83.71147,9.93268,871
12,33830E,-83.74054,9.94193,1246
13,337F94,-83.73611,9.93805,1128
14,337D07,-83.73016,9.94036,1090
15,337F00,-83.73078,9.93852,1059
16,33806B,-83.72993,9.93692,1071
17,337AA8,-83.73717,9.93838,1137
18,337C7A,-83.73742,9.93883,1143
19,337BE9,-83.73704,9.93812,1137
20,338350,-83.72935,9.93812,1052
21,337FC6,-83.72921,9.94069,1079
22,338007,-83.72945,9.93676,1067
23,3382A2,-83.73075,9.93804,1073
24,337AD1,-83.74144,9.93649,1210
25,337D1E,-83.73897,9.93797,1191
26,337B7C,-83.72295,9.93894,1037
27,337BA4,-83.728,9.93908,1049
28,337B0A,-83.73096,9.94013,1108
29,337FC1,-83.74095,9.93952,1243
30,337BD5,-83.73226,9.94007,1107
31,338210,-83.72875,9.93839,1053
32,337B5D,-83.74268,9.93745,1227
33,337E8D,-83.72987,9.93631,1075
34,3382E5,-83.70689,9.93083,832
35,337F65,-83.72939,9.94009,1069
36,3381BE,-83.74018,9.93948,1230
37,337B89,-83.72778,9.93786,1049
38,338201,-83.73045,9.93989,1080
39,337614,-83.7159,9.93152,892
40,337B08,-83.7349,9.95041,1237
41,3381A7,-83.729,9.9385,1055
42,337EEC,-83.72699,9.93697,1035
43,337D4A,-83.72764,9.93861,1009
44,337B0E,-83.73138,9.93696,1087
45,338329,-83.73007,9.94515,1120
46,338202,-83.73016,9.93863,1060
47,3381C3,-83.73985,9.9458,1208
48,33760F,-83.73788,9.93854,1147
49,337BDB,-83.73145,9.95644,1320
50,337EB0,-83.71372,9.93301,923
51,337DBA,-83.73496,9.93803,1124
52,337AC3,-83.72893,9.93707,1051
53,337885,-83.72662,9.94056,1047
54,337800,-83.72068,9.94099,1044
55,33823B,-83.71056,9.93953,963
56,338135,-83.73515,9.94088,1160
57,337F0C,-83.72897,9.93836,1054
58,337DA9,-83.72868,9.92972,1070
59,337864,-83.73227,9.93153,1100
60,338246,-83.73898,9.94354,1203
61,338240,-83.73761,9.9366,1176
62,3382C3,-83.72913,9.94555,1116
63,337FC3,-83.73163,9.9421,1120
64,3382CA,-83.73415,9.9369,1150
65,337B7F,-83.7233,9.94343,1064
66,337618,-83.72876,9.9403,1065
67,337774,-83.74487,9.94048,1282
68,337C71,-83.73042,9.95202,1250
69,33765F,-83.72602,9.93137,1050
70,3381DF,-83.74734,9.93894,1399
71,33768D,-83.74445,9.93291,1175
72,337DB1,-83.73945,9.94086,1243
73,338339,-83.727,9.9391,1040
74,337D4C,-83.73239,9.93643,1116
75,337DAB,-83.7181,9.94287,1062
76,337E65,-83.72875,9.94866,1165
77,33812D,-83.7197,9.93512,1003
78,337B33,-83.70549,9.93444,922
79,337BBA,-83.72995,9.93659,1071
80,33827E,-83.71431,9.94193,1049
81,337ECE,-83.72426,9.94983,1159
82,337DBB,-83.73324,9.94101,1136
83,338343,-83.72207,9.93332,995
84,337C18,-83.74536,9.94458,1274
85,337DCC,-83.72303,9.94655,1153
86,337A73,-83.72823,9.95221,1228
87,337D17,-83.74054,9.94319,1229
88,337D1F,-83.7131,9.93527,984
89,3382AF,-83.73349,9.95657,1304
90,337D48,-83.73442,9.93566,1139
91,337C81,-83.7322,9.94814,1160
92,337AFB,-83.71989,9.94333,1074
93,337F1D,-83.73843,9.93421,1164
94,337839,-83.74269,9.9395,1250
95,337F97,-83.71654,9.93783,1010
96,338204,-83.73383,9.93958,1142
97,337EB5,-83.74024,9.9377,1226
98,3381C0,-83.7391,9.9489,1244
99,337B00,-83.71032,9.93377,879
100,3378D9,-83.72397,9.93529,1010
